C,l1_ratio,inner_macro,inner_p10,repeat,fold
1.0,0.75,0.5348278102664067,0.4966861598440545,4,1
0.1,0.25,0.5302794022092268,0.44951267056530214,4,1
1.0,1.0,0.5286549707602339,0.5035087719298246,4,1
1.0,0.5,0.5286549707602339,0.4929824561403508,4,1
0.3,0.5,0.5198830409356726,0.5035087719298246,4,1
0.1,0.5,0.519558154645874,0.46682261208577003,4,1
0.3,1.0,0.516374269005848,0.5035087719298246,4,1
1.0,0.25,0.5097141000649773,0.46927875243664724,4,1
0.03,0.25,0.6666666666666666,0.2,4,2
0.03,1.0,0.6666666666666666,0.2,4,2
0.1,1.0,0.6666666666666666,0.2,4,2
1.0,0.5,0.5002599090318388,0.34571150097465886,4,2
0.1,0.75,0.49853801169590645,0.14912280701754388,4,2
1.0,0.75,0.4609486679662118,0.27212475633528266,4,2
0.3,0.5,0.4534762833008448,0.28430799220272907,4,2
1.0,0.25,0.4499025341130604,0.28216374269005845,4,2
0.3,1.0,0.4417478882391163,0.26949317738791423,4,2
0.1,0.25,0.4172189733593242,0.2658869395711501,4,2
0.3,0.75,0.4144574398960364,0.21978557504873297,4,2
1.0,1.0,0.40266406757634826,0.21715399610136452,4,2
0.3,0.25,0.384762833008447,0.2541910331384015,4,2
0.1,0.5,0.3824561403508772,0.36900584795321634,4,2
0.03,0.5,0.3333333333333333,0.0,4,2
0.03,0.75,0.3333333333333333,0.0,4,2
0.03,0.5,1.0,1.0,4,3
0.03,0.75,1.0,1.0,4,3
0.1,1.0,1.0,1.0,4,3
0.03,0.25,0.8703703703703703,0.6888888888888889,4,3
0.1,0.75,0.8518518518518517,0.6444444444444445,4,3
0.03,1.0,0.6666666666666666,0.2,4,3
0.1,0.5,0.49400584795321634,0.3502923976608187,4,3
0.3,0.25,0.4582846003898635,0.39210526315789473,4,3
1.0,0.25,0.4397660818713451,0.36608187134502923,4,3
0.3,1.0,0.4313840155945419,0.37660818713450295,4,3
1.0,0.5,0.40248538011695906,0.3276315789473684,4,3
1.0,1.0,0.3980506822612086,0.3321637426900585,4,3
1.0,0.75,0.39785575048732946,0.3248538011695906,4,3
0.1,0.25,0.38606237816764133,0.32163742690058483,4,3
0.3,0.5,0.3783625730994152,0.36257309941520466,4,3
0.3,0.75,0.3653996101364522,0.3622222222222222,4,3
0.03,0.5,1.0,1.0,4,4
0.03,0.25,0.9814814814814815,0.9555555555555555,4,4
0.1,1.0,0.9814814814814815,0.9555555555555555,4,4
0.1,0.75,0.9629629629629629,0.9444444444444444,4,4
0.03,0.75,0.6666666666666666,0.2,4,4
0.03,1.0,0.6666666666666666,0.2,4,4
0.3,1.0,0.5286874593892138,0.4990643274853801,4,4
1.0,0.25,0.5199155295646524,0.4581481481481482,4,4
1.0,0.5,0.5142949967511371,0.47962962962962963,4,4
0.3,0.25,0.5050357374918778,0.47407407407407404,4,4
0.1,0.5,0.5028589993502274,0.42797270955165695,4,4
1.0,0.75,0.49675113710201435,0.43508771929824563,4,4
0.3,0.75,0.4921377517868746,0.46861598440545804,4,4
1.0,1.0,0.4858349577647823,0.4352046783625731,4,4
0.1,0.25,0.4847303443794672,0.46861598440545804,4,4
0.3,0.5,0.4575698505523067,0.41629629629629633,4,4
