C,inner_balanced_macro,inner_p10,repeat,fold,model
0.003,0.5453715728715728,0.46155844155844156,3,1,TG10_SHARED_RIDGE_BALANCED
3.0,0.7478303640803641,0.7081753246753247,3,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6874178599178599,0.6631233766233766,3,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.6358702408702409,0.5278230103230103,3,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.6340448440448441,0.5575281385281385,3,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5957084582084583,0.47001165501165504,3,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5904667554667554,0.44569347319347324,3,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5601151626151627,0.46540459540459544,3,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.548573989363463,0.47217504717504716,3,2,TG10_SHARED_RIDGE_BALANCED
0.003,0.5476334094755148,0.4701936951936952,3,2,TG10_SHARED_RIDGE_BALANCED
0.03,0.5427170295591348,0.461016761016761,3,2,TG10_SHARED_RIDGE_BALANCED
0.3,0.5351065844486897,0.4544358419358419,3,2,TG10_SHARED_RIDGE_BALANCED
0.1,0.5124278742699796,0.4433927183927184,3,2,TG10_SHARED_RIDGE_BALANCED
3.0,0.5052687322424165,0.4273837273837274,3,2,TG10_SHARED_RIDGE_BALANCED
1.0,0.49043999372946745,0.42300893550893554,3,2,TG10_SHARED_RIDGE_BALANCED
3.0,0.6962897482634324,0.6544563331405437,3,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.635070923228818,0.6169307885097359,3,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.5838086377560062,0.5729450374187216,3,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5557558425979479,0.4982539682539682,3,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5546597165018218,0.4888050838050838,3,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.548514911014911,0.5366555666555666,3,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5394234907392802,0.5080380438275175,3,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.5848475598475598,0.41696747696747694,3,3,TG10_SHARED_RIDGE_BALANCED
0.3,0.5847633847633847,0.40533688533688533,3,3,TG10_SHARED_RIDGE_BALANCED
3.0,0.5601962851962852,0.3855821955821956,3,3,TG10_SHARED_RIDGE_BALANCED
0.1,0.5587431087431087,0.4178882228882229,3,3,TG10_SHARED_RIDGE_BALANCED
0.03,0.5309167684167684,0.43245421245421245,3,3,TG10_SHARED_RIDGE_BALANCED
0.01,0.5293294668294668,0.4315018315018315,3,3,TG10_SHARED_RIDGE_BALANCED
