feature_set,repeat,n_subjects,macro_pairwise,subject_hit_rate,median_sep
UNSEONG,4,23,0.5554175293305729,0.5652173913043478,0.14386495025144874
UNSEONG,5,23,0.5720151828847481,0.5217391304347826,0.19855075725647442
UNSEONG,6,23,0.48077984817115255,0.5652173913043478,0.12517916070638035
UNSEONG,7,23,0.4897170462387853,0.5217391304347826,0.09286382991411646
UNSEONG,8,23,0.45866114561766735,0.43478260869565216,-0.08668761440432382
UNSEONG,9,23,0.5341614906832298,0.6086956521739131,0.2851980381679132
UNSEONG,10,23,0.48077984817115255,0.5217391304347826,0.23806478291572852
UNSEONG,11,23,0.5261904761904761,0.4782608695652174,-0.01851335634324247
UNSEONG,12,23,0.5263630089717047,0.5652173913043478,0.14682466001475136
UNSEONG,13,23,0.5196687370600415,0.4782608695652174,-0.08926650736945074
UNSEONG,14,23,0.4554175293305727,0.391304347826087,-0.366173811789563
UNSEONG,15,23,0.6060731538992409,0.5652173913043478,0.1782830596398164
UNSEONG,16,23,0.5002415458937198,0.5652173913043478,0.0614342132600636
UNSEONG,17,23,0.5105590062111801,0.5217391304347826,0.20447536113763132
UNSEONG,18,23,0.4272946859903382,0.4782608695652174,-0.19121334645133103
UNSEONG,19,23,0.5085576259489304,0.5652173913043478,0.4150560557241021
UNSEONG,20,23,0.44261559696342306,0.391304347826087,-0.3681451136763412
UNSEONG,21,23,0.5556590752242926,0.5652173913043478,0.4090697554062034
UNSEONG,22,23,0.47173913043478266,0.4782608695652174,-0.1665516908118445
UNSEONG,23,23,0.4812629399585921,0.4782608695652174,-0.2337292056557545
UNSEONG,24,23,0.5302277432712216,0.6086956521739131,1.0241167342236976
UNSEONG,25,23,0.5063837129054519,0.4782608695652174,-0.1136661533738389
UNSEONG,26,23,0.5338509316770187,0.4782608695652174,-0.007404174409985198
UNSEONG,27,23,0.4638026224982747,0.391304347826087,-0.3713539209456024
UNSEONG,28,23,0.4553485162180814,0.5652173913043478,0.04004327940080599
UNSEONG,29,23,0.4440648723257419,0.391304347826087,-0.47153901866836784
UNSEONG,30,23,0.5203933747412008,0.5217391304347826,0.028679148850014213
UNSEONG,31,23,0.49151138716356113,0.5217391304347826,0.03367598244458292
UNSEONG,32,23,0.49527260179434085,0.5652173913043478,0.29292389630407334
UNSEONG,33,23,0.52311939268461,0.4782608695652174,-0.007639387265159225
UNSEONG,34,23,0.5645272601794341,0.5217391304347826,0.02385912144235469
UNSEONG,35,23,0.5230503795721188,0.5217391304347826,0.2447332449985421
UNSEONG,36,23,0.42153209109730855,0.391304347826087,-0.46508541991872865
UNSEONG,37,23,0.5229468599033816,0.5652173913043478,0.028218336494812313
UNSEONG,38,23,0.48633540372670797,0.5652173913043478,0.327769501415206
UNSEONG,39,23,0.5447204968944099,0.4782608695652174,-0.1443370855702447
UNSEONG,40,23,0.4462387853692201,0.43478260869565216,-0.4654916405425794
UNSEONG,41,23,0.5474465148378193,0.5652173913043478,0.39975259677956654
UNSEONG,42,23,0.40897170462387855,0.30434782608695654,-0.43635471970366857
UNSEONG,43,23,0.474672187715666,0.5652173913043478,0.3903284353714469
UNSEONG,44,23,0.4724982746721877,0.4782608695652174,-0.07220676189086417
UNSEONG,45,23,0.4940648723257419,0.30434782608695654,-0.6748449133251511
UNSEONG,46,23,0.4684610075914423,0.5217391304347826,0.2320212764538261
UNSEONG,47,23,0.41104209799861974,0.34782608695652173,-0.6693768062080157
UNSEONG,48,23,0.4920289855072464,0.43478260869565216,-0.3256585910983274
UNSEONG,49,23,0.4962387853692201,0.43478260869565216,-0.273262925020186
SHINSAL,0,23,0.5890786749482402,0.6086956521739131,0.6036226234285582
SHINSAL,1,23,0.5505693581780539,0.6086956521739131,0.16161077669107726
SHINSAL,2,23,0.6253450655624568,0.5652173913043478,0.3641335034093265
SHINSAL,3,23,0.6698930296756384,0.6956521739130435,0.5074731794076004
SHINSAL,4,23,0.5525707384403037,0.5217391304347826,0.2610726754543844
SHINSAL,5,23,0.5394582470669427,0.5652173913043478,1.0362151980163539
SHINSAL,6,23,0.49477225672877845,0.5217391304347826,0.028550661663519605
SHINSAL,7,23,0.5652346445824707,0.5652173913043478,0.44316486785070097
SHINSAL,8,23,0.6131987577639751,0.5217391304347826,0.28972262638750834
SHINSAL,9,23,0.5866287094547965,0.5217391304347826,0.272829043807846
SHINSAL,10,23,0.534696342305038,0.5217391304347826,0.15767983425343024
SHINSAL,11,23,0.5817287784679089,0.6086956521739131,0.26900885941530817
SHINSAL,12,23,0.5954968944099379,0.6086956521739131,0.2960998367324052
SHINSAL,13,23,0.6168219461697724,0.6086956521739131,0.4316947840321106
SHINSAL,14,23,0.38010697032436164,0.391304347826087,-0.4210839362886425
SHINSAL,15,23,0.6419772256728778,0.5652173913043478,0.33413950671054415
SHINSAL,16,23,0.6173050379572119,0.5652173913043478,0.07633309306658731
SHINSAL,17,23,0.559023464458247,0.5217391304347826,0.3037346730392869
SHINSAL,18,23,0.6111973775017253,0.5652173913043478,0.3663895589978843
SHINSAL,19,23,0.5750345065562458,0.4782608695652174,-0.048953156300827416
SHINSAL,20,23,0.5552277432712216,0.5217391304347826,0.21548923623395666
SHINSAL,21,23,0.6143719806763285,0.6086956521739131,0.5235972214639784
SHINSAL,22,23,0.580072463768116,0.5217391304347826,0.706335191299698
SHINSAL,23,23,0.6466356107660456,0.5652173913043478,0.21014012895804868
SHINSAL,24,23,0.6459799861973775,0.7391304347826086,0.7958535943350871
SHINSAL,25,23,0.6822118702553486,0.6956521739130435,0.7109384698971652
SHINSAL,26,23,0.5574706694271913,0.5217391304347826,0.028522992792215263
SHINSAL,27,23,0.5764147688060731,0.6086956521739131,0.25306983140070294
